# Wavelength(micron) (rp/rs)^2 Error_bars
1.258925411794167282e+01 1.062609311426095798e-02 1.000000000000000082e-05
1.254580400345803248e+01 1.062354247422188196e-02 1.000000000000000082e-05
1.250250385119064056e+01 1.061228517340454675e-02 1.000000000000000082e-05
1.245935314356514034e+01 1.060286777094334235e-02 1.000000000000000082e-05
1.241635136479347246e+01 1.059872325162107727e-02 1.000000000000000082e-05
1.237349800086776241e+01 1.060158372584130149e-02 1.000000000000000082e-05
1.233079253955416199e+01 1.059200715042671499e-02 1.000000000000000082e-05
1.228823447038672256e+01 1.059570346647768606e-02 1.000000000000000082e-05
1.224582328466133241e+01 1.058326664077678322e-02 1.000000000000000082e-05
1.220355847542957051e+01 1.057876246008026232e-02 1.000000000000000082e-05
1.216143953749268647e+01 1.057694454614764232e-02 1.000000000000000082e-05
1.211946596739555915e+01 1.057477886614110150e-02 1.000000000000000082e-05
1.207763726342066590e+01 1.058980319663364172e-02 1.000000000000000082e-05
1.203595292558212293e+01 1.057973547741472738e-02 1.000000000000000082e-05
1.199441245561965097e+01 1.057289820247317783e-02 1.000000000000000082e-05
1.195301535699265827e+01 1.056821714806075937e-02 1.000000000000000082e-05
1.191176113487429689e+01 1.056498620164696318e-02 1.000000000000000082e-05
1.187064929614553144e+01 1.056190846912103201e-02 1.000000000000000082e-05
1.182967934938930377e+01 1.055973213492660163e-02 1.000000000000000082e-05
1.178885080488457326e+01 1.056086064205646532e-02 1.000000000000000082e-05
1.174816317460051884e+01 1.055887825286130725e-02 1.000000000000000082e-05
1.170761597219068051e+01 1.056800497131553558e-02 1.000000000000000082e-05
1.166720871298719509e+01 1.056414240401553836e-02 1.000000000000000082e-05
1.162694091399492891e+01 1.056079758369512893e-02 1.000000000000000082e-05
1.158681209388574906e+01 1.056474071857302528e-02 1.000000000000000082e-05
1.154682177299276624e+01 1.056130738851857910e-02 1.000000000000000082e-05
1.150696947330458286e+01 1.055854511314535671e-02 1.000000000000000082e-05
1.146725471845963007e+01 1.055924296186953187e-02 1.000000000000000082e-05
1.142767703374039989e+01 1.055760158284529612e-02 1.000000000000000082e-05
1.138823594606782130e+01 1.055858134635051168e-02 1.000000000000000082e-05
1.134893098399558831e+01 1.056723311804219634e-02 1.000000000000000082e-05
1.130976167770452356e+01 1.056527460304975546e-02 1.000000000000000082e-05
1.127072755899699530e+01 1.055849577007924450e-02 1.000000000000000082e-05
1.123182816129126138e+01 1.056005627274759530e-02 1.000000000000000082e-05
1.119306301961593242e+01 1.055912251939794544e-02 1.000000000000000082e-05
1.115443167060441176e+01 1.055434582523076363e-02 1.000000000000000082e-05
1.111593365248933019e+01 1.056514322379078011e-02 1.000000000000000082e-05
1.107756850509708713e+01 1.056128550558427595e-02 1.000000000000000082e-05
1.103933576984227116e+01 1.055965918141861352e-02 1.000000000000000082e-05
1.100123498972222968e+01 1.055716493940650480e-02 1.000000000000000082e-05
