# wavelength_micron  transit_depth_(Rp/Rs)^2  error
1.205000000000000071e+00 9.779999999999999805e-01 4.599999999999999922e-02
1.245000000000000107e+00 1.032000000000000028e+00 4.000000000000000083e-02
1.284999999999999920e+00 1.078000000000000069e+00 4.200000000000000261e-02
1.324999999999999956e+00 1.090999999999999970e+00 4.000000000000000083e-02
1.364999999999999991e+00 1.116999999999999993e+00 3.500000000000000333e-02
1.405000000000000027e+00 1.118999999999999995e+00 4.200000000000000261e-02
1.445000000000000062e+00 1.052000000000000046e+00 3.899999999999999994e-02
1.485000000000000098e+00 1.036000000000000032e+00 4.000000000000000083e-02
1.524999999999999911e+00 1.050999999999999934e+00 3.899999999999999994e-02
1.564999999999999947e+00 1.080000000000000071e+00 3.699999999999999817e-02
1.604999999999999982e+00 1.056999999999999940e+00 4.000000000000000083e-02
1.645000000000000018e+00 1.106999999999999984e+00 3.899999999999999994e-02
1.685000000000000053e+00 1.006999999999999895e+00 3.799999999999999906e-02
1.725000000000000089e+00 1.040999999999999925e+00 3.899999999999999994e-02
1.764999999999999902e+00 1.064999999999999947e+00 3.899999999999999994e-02
